MOD,DATE_EFF,TYPECOM_AV,COM_AV,TNCC_AV,NCC_AV,NCCENR_AV,LIBELLE_AV,TYPECOM_AP,COM_AP,TNCC_AP,NCC_AP,NCCENR_AP,LIBELLE_AP
20,2011-03-31,COM,97601,1,ACOUA,Acoua,Acoua,COM,97601,1,ACOUA,Acoua,Acoua
20,2011-03-31,COM,97602,0,BANDRABOUA,Bandraboua,Bandraboua,COM,97602,0,BANDRABOUA,Bandraboua,Bandraboua
20,2011-03-31,COM,97603,0,BANDRELE,Bandrele,Bandrele,COM,97603,0,BANDRELE,Bandrele,Bandrele
20,2011-03-31,COM,97604,0,BOUENI,Bouéni,Bouéni,COM,97604,0,BOUENI,Bouéni,Bouéni
20,2011-03-31,COM,97605,0,CHICONI,Chiconi,Chiconi,COM,97605,0,CHICONI,Chiconi,Chiconi
20,2011-03-31,COM,97606,0,CHIRONGUI,Chirongui,Chirongui,COM,97606,0,CHIRONGUI,Chirongui,Chirongui
20,2011-03-31,COM,97607,0,DEMBENI,Dembeni,Dembeni,COM,97607,0,DEMBENI,Dembeni,Dembeni
20,2011-03-31,COM,97608,0,DZAOUDZI,Dzaoudzi,Dzaoudzi,COM,97608,0,DZAOUDZI,Dzaoudzi,Dzaoudzi
20,2011-03-31,COM,97609,0,KANI-KELI,Kani-Kéli,Kani-Kéli,COM,97609,0,KANI KELI,Kani-Kéli,Kani-Kéli
20,2011-03-31,COM,97610,0,KOUNGOU,Koungou,Koungou,COM,97610,0,KOUNGOU,Koungou,Koungou
20,2011-03-31,COM,97611,0,MAMOUDZOU,Mamoudzou,Mamoudzou,COM,97611,0,MAMOUDZOU,Mamoudzou,Mamoudzou
20,2011-03-31,COM,97612,0,MTSAMBORO,Mtsamboro,Mtsamboro,COM,97612,0,MTSAMBORO,Mtsamboro,Mtsamboro
20,2011-03-31,COM,97613,0,M'TSANGAMOUJI,M'Tsangamouji,M'Tsangamouji,COM,97613,0,M TSANGAMOUJI,M'Tsangamouji,M'Tsangamouji
20,2011-03-31,COM,97614,1,OUANGANI,Ouangani,Ouangani,COM,97614,1,OUANGANI,Ouangani,Ouangani
20,2011-03-31,COM,97615,0,PAMANDZI,Pamandzi,Pamandzi,COM,97615,0,PAMANDZI,Pamandzi,Pamandzi
20,2011-03-31,COM,97616,0,SADA,Sada,Sada,COM,97616,0,SADA,Sada,Sada
20,2011-03-31,COM,97617,0,TSINGONI,Tsingoni,Tsingoni,COM,97617,0,TSINGONI,Tsingoni,Tsingoni
20,1976-07-19,COM,97501,0,MIQUELON-LANGLADE,Miquelon-Langlade,Miquelon-Langlade,COM,97501,0,MIQUELON-LANGLADE,Miquelon-Langlade,Miquelon-Langlade
20,1976-07-19,COM,97502,0,SAINT-PIERRE,Saint-Pierre,Saint-Pierre,COM,97502,0,SAINT-PIERRE,Saint-Pierre,Saint-Pierre
30,2007-07-15,COM,97123,0,SAINT-BARTHELEMY,Saint-Barthélemy,Saint-Barthélemy,COM,97123,0,SAINT-BARTHELEMY,Saint-Barthélemy,Saint-Barthélemy
30,2007-07-15,COM,97127,0,SAINT-MARTIN,Saint-Martin,Saint-Martin,COM,97127,0,SAINT-MARTIN,Saint-Martin,Saint-Martin
